13.1830  640  480  1 #3_objetos
17.5180  640  480  1 #4_Objetos
24.0223  640  480  1 #5_Objetos
25.7093  640  480  1 #6_Objetos
32.8129  1200 1161 1 #Moneda_china
93.4995  969  267  0 #Moneas_oro
61.2255  812  657  0 #Cartas
75.9244  1050 692  0 #Carro
16.2506  1600 1079 1 #2_pimientos
35.0652  1000 940  1 #Kiwi
28.1356  1280 1280 1 #Conjunto_frutas
28.4802  879  1099 1 #Echeveria_elegans
27.4085  768  1024 1 #Gato
50.8196  1000 624  0 #Tortuga
62.7782  760  564  0 #Axolote
66.4577  1200 1600 0 #Koala
80.5577  768  432  0 #Peces
129.8482 800  533  0 #Pulpo
106.2427 1200 630  0 #Rios_montañas
42.0893  1000 741  0 #Caravaggio
